Location ID,Depth Top,Depth Base,Geology Code
,28.0,63.0,GLACIOFLUVIAL (SAND) DEPOSITS
,63.0,115.0,GLACIAL TILL
93-1,0.0,9.0,FILL
,9.0,45.5,MARINE CLAY DEPOSITS
93-2,0.0,8.0,FILL
,8.0,35.5,MARINE CLAY DEPOSITS
93-3,0.0,3.0,FILL
,3.0,31.0,MARINE CLAY DEPOSITS
B93-3,0.0,12.0,FILL
,12.0,32.0,MARINE CLAY DEPOSITS
B94-1,0.0,12.0,FILL
,12.0,85.0,MARINE CLAY DEPOSITS
B94-2,0.0,13.0,FILL
,13.0,14.0,ORGANIC DEPOSITS
,14.0,61.0,MARINE CLAY DEPOSITS
B94-3,0.0,8.0,FILL
,8.0,9.5,ORGANIC DEPOSITS
,9.5,76.0,MARINE CLAY DEPOSITS
B94-4,0.0,7.5,FILL
,7.5,10.5,ORGANIC DEPOSITS
,10.5,61.0,MARINE CLAY DEPOSITS
B94-5,0.0,7.0,FILL
,7.0,9.5,ORGANIC DEPOSITS
,9.5,30.0,MARINE CLAY DEPOSITS
,30.0,63.0,GLACIOFLUVIAL (SAND) DEPOSITS
,63.0,66.16666666666667,GLACIAL TILL
B1(59-1),0.0,5.5,FILL
,5.5,16.0,MARINE SAND DEPOSITS
,16.0,26.0,MARINE CLAY DEPOSITS
,26.0,30.0,GLACIAL TILL
B2(59-2),0.0,3.5,FILL
,3.5,6.5,MARINE SAND DEPOSITS
,6.5,21.6,MARINE CLAY DEPOSITS
,21.6,26.0,GLACIOFLUVIAL (SAND) DEPOSITS
,26.0,42.8,GLACIAL TILL
B3(59-3),0.0,2.5,FILL
,2.5,23.0,MARINE CLAY DEPOSITS
,23.0,26.0,GLACIAL TILL
B4(59-4),0.0,7.5,FILL
,7.5,23.0,MARINE CLAY DEPOSITS
,23.0,27.5,GLACIAL TILL
B5(59-5),0.0,7.5,FILL
,7.5,11.5,MARINE CLAY DEPOSITS
,11.5,24.5,GLACIOFLUVIAL (SAND) DEPOSITS
,24.5,27.0,GLACIAL TILL
RL-1(67-1),8.5,15.0,MARINE CLAY DEPOSITS
,15.0,21.5,GLACIOFLUVIAL (SAND) DEPOSITS
RL-2(67-2),0.0,3.5,FILL
,3.5,15.0,MARINE SAND DEPOSITS
,15.0,10.0,MARINE CLAY DEPOSITS
,10.0,23.6,GLACIOFLUVIAL (SAND) DEPOSITS
,23.6,24.5,GLACIAL TILL
RL-3(67-3),0.0,5.0,FILL
,5.0,15.5,MARINE CLAY DEPOSITS
,15.5,24.5,GLACIOFLUVIAL (SAND) DEPOSITS
69-1,0.0,12.0,FILL
,12.0,14.5,ORGANIC DEPOSITS
,14.5,35.5,MARINE CLAY DEPOSITS
,35.5,52.0,GLACIOFLUVIAL (SAND) DEPOSITS
69-2,0.0,10.0,FILL
,10.0,15.0,ORGANIC DEPOSITS
,15.0,38.5,MARINE CLAY DEPOSITS
,38.5,45.0,GLACIOFLUVIAL (SAND) DEPOSITS
,45.0,58.1,GLACIAL TILL
12,0.0,14.5,FILL
,14.5,28.5,MARINE SAND DEPOSITS
,28.5,39.5,MARINE CLAY DEPOSITS
,39.5,50.0,GLACIOFLUVIAL (SAND) DEPOSITS
,50.0,96.0,GLACIAL TILL
