Location ID,Depth Top,Depth Base,Geology Code,Location Code
HA-B3 (MW-BR),28.8,45,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B4,0.0,2.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B4,2.0,9.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B4,9.5,18.8,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-B4,18.8,20,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C1 (MW-BR),0.0,4.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C1 (MW-BR),4.0,9.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C1 (MW-BR),9.5,14.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C1 (MW-BR),14.0,26.5,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C1 (MW-BR),26.5,43,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C2,0.0,1.5,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C2,1.5,12.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C2,12.0,16.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C2,16.0,27.8,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C2,27.8,29,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C3,0.0,2.5,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C3,2.5,11.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C3,11.5,17.5,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C3,17.5,24.5,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C3,24.5,26,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C4 (OW-D),0.0,2.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C4 (OW-D),2.0,7.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C4 (OW-D),7.0,14.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C4 (OW-D),14.0,19.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-C4 (OW-D),19.0,36,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D1,0.0,6.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D1,6.0,9.5, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D1,9.5,19.5,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D1,19.5,26.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D1,26.0,27.5,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,0.0,1.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,1.0,9.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,9.0,22.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,22.0,34.0,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,34.0,38.0,WEATHERED BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D2,38.0,48,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D3,0.0,0.3,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D3,0.3,8.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D3,8.0,18.0,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D3,18.0,18.5,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D4,0.0,2.0,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D4,2.0,9.0, MARINE CLAY DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D4,9.0,19.5,GLACIOFLUVIAL (SAND) DEPOSITS,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D4,19.5,22.5,GLACIAL TILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-D4,22.5,24,BEDROCK,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-100,0.0,6,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA-101,0.0,6,FILL,2011-0830-HAI-BG-Supplemental Geotech Data-F.pdf
HA09-1,0.0,8.5,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-1,8.5,44.5, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-1,44.5,67,GLACIOFLUVIAL (SAND) DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-2 (OW) ,0.0,8.5,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-2 (OW) ,8.5,35.0, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-2 (OW) ,35.0,52,GLACIOFLUVIAL (SAND) DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-3,0.0,4.5,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-3,4.5,14.5, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-3,14.5,42,GLACIOFLUVIAL (SAND) DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-4,0.0,4.5,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-4,4.5,18.0, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-4,18.0,52.0,GLACIOFLUVIAL (SAND) DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA09-4,52.0,57,GLACIAL TILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA10-1 (OW),0.0,4.0,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA10-1 (OW),4.0,25, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA10-2,0.0,4.0,FILL,2010-0505-HAI-Binney St Geotech Memo_F.pdf
HA10-2,4.0,10, MARINE CLAY DEPOSITS,2010-0505-HAI-Binney St Geotech Memo_F.pdf
B-1,0.0,3.0,FILL,2006 0506 05305 BWH Bicor Project.pdf
B-1,3.0,24.9, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
B-1,24.9,27.1,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
B-2,0.0,7.5,FILL,2006 0506 05305 BWH Bicor Project.pdf
B-2,7.5,27.0, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
B-2,27.0,29,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
B-301,0.0,8.0,FILL,2006 0506 05305 BWH Bicor Project.pdf
B-301,8.0,15.0, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
B-301,15.0,21.2,GLACIOFLUVIAL (SAND) DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
B-301,21.2,43.5,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
B-301,43.5,49,BEDROCK,2006 0506 05305 BWH Bicor Project.pdf
MW-601,0.0,0.3,FILL,2006 0506 05305 BWH Bicor Project.pdf
MW-601,0.3,12.5, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
MW-601,12.5,17.5,GLACIOFLUVIAL (SAND) DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
MW-601,17.5,31.5,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
MW-601,31.5,72,BEDROCK,2006 0506 05305 BWH Bicor Project.pdf
MW-702,0.0,7.5,FILL,2006 0506 05305 BWH Bicor Project.pdf
MW-702,7.5,44.0, MARINE CLAY DEPOSITS,2006 0506 05305 BWH Bicor Project.pdf
MW-702,44.0,55.3,GLACIAL TILL,2006 0506 05305 BWH Bicor Project.pdf
